k,inertia,silhouette_score,davies_bouldin_index,smallest_cluster,largest_cluster
2,1052.0674237227965,0.36178016322579815,0.9916190310045956,13,25
3,775.9979285391115,0.27663618402578105,1.100459154229467,8,19
4,622.8143680774742,0.27307102673342243,1.083587811077903,3,14
5,532.4390951030762,0.24328168208462328,1.035264093041817,2,13
6,470.2059427792702,0.2601419180557561,1.0657883018322731,1,14
7,414.00086900033136,0.2373144563781622,1.162193307695446,1,9
8,340.1550621528589,0.23688353763812328,0.9933168949560581,1,8
