provinsi,produksi_padi_2025,produksi_jagung_2024,produksi_alpukat_2025,produksi_anggur_2025,produksi_apel_2025,produksi_belimbing_2025,produksi_duku_langsat_kokosan_2025,produksi_durian_2025,produksi_jambu_air_2025,produksi_jambu_biji_2025,produksi_jengkol_2025,produksi_jeruk_besar_2025,produksi_jeruk_siam_keprok_2025,produksi_mangga_2025,produksi_manggis_2025,produksi_melinjo_2025,produksi_nangka_cempedak_2025,produksi_nenas_2025,produksi_pepaya_2025,produksi_petai_2025,produksi_pisang_2025,produksi_rambutan_2025,produksi_salak_2025,produksi_sawo_2025,produksi_sirsak_2025,produksi_sukun_2025,produksi_buah_naga_2025,produksi_jeruk_lemon_2025,produksi_lengkeng_2025,produksi_bawang_daun_2025,produksi_bawang_merah_2025,produksi_bawang_putih_2025,produksi_bayam_2025,produksi_buncis_2025,produksi_cabai_rawit_2025,produksi_kacang_panjang_2025,produksi_kangkung_2025,produksi_kembang_kol_2025,produksi_kentang_2025,produksi_ketimun_2025,produksi_kubis_2025,produksi_labu_siam_2025,produksi_melon_2025,produksi_paprika_2025,produksi_petsai_sawi_2025,produksi_semangka_2025,produksi_stroberi_2025,produksi_terung_2025,produksi_tomat_2025,produksi_wortel_2025,produksi_cabai_besar_tw_teropong_2025,produksi_cabai_keriting_2025,produksi_jamur_tiram_2025,produksi_jamur_merang_2025,produksi_jamur_lainnya_2025,cluster,cluster_name
Maluku Utara,22642.0,4530.02,704.5060000000001,0.0,0.0,190.78,7251.666999999999,9002.299,647.319,230.391,0.0,35.328,672.295,3527.249,932.789,377.57,1418.215,179.404,1058.746,0.236,8028.763000000001,6638.886,1525.676,9.436,322.758,294.04,158.47,19.96,212.69,1184.686,333.87600000000003,0.0,703.7810000000001,418.582,5695.977,2768.438,1912.05,0.0,0.0,2478.034,9.3,555.419,61.6,0.0,1721.913,1146.605,0.0,4287.174,12118.581,0.0,49.365,7024.972,0.0,0.0,0.01,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
Nusa Tenggara Barat,1708619.0,1209784.0,18225.892,383.16,142.5,534.188,402.774,25286.663,3459.0160000000005,11653.888,0.0,1011.701,5898.344999999999,130522.148,6179.477,1160.256,64876.169,88515.24100000001,17444.666,48.584,87504.065,9564.975,301.232,17248.898999999998,4029.994,505.532,4640.721,45.309,2905.736,3893.2,171549.688,11659.57,598.853,349.184,90558.708,2423.1490000000003,7019.041,801.15,1777.1,3359.345,13938.984,302.16,830.5649999999999,0.0,4884.841,10024.039,484.8,6605.405000000001,26580.899,3820.5,10070.466,4260.787,104.339,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Nusa Tenggara Timur,968324.0,293052.3,15818.154,8.947,8.4,300.814,3.0,5262.403,1780.193,9476.083,0.1,404.072,11997.542,56322.66,18.525,52.45,18611.471,17836.272,75023.949,190.106,168599.41100000002,5846.804,1067.783,685.677,2265.67,3268.53,6782.014,326.385,68.176,438.77,9562.896,418.533,4856.255,3664.309,10943.708,5060.3550000000005,11275.893,442.004,186.614,4850.939,1965.353,28699.944,412.175,3.14,9620.761,3191.5950000000003,44.14,12491.988,9574.41,915.842,1356.642,1725.565,0.03,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Papua,1859.0,3913.44,38.6,0.0,0.0,63.1,12.0,10.0,47.36,811.0,0.0,0.0,235.7,1044.9,0.0,0.0,258.8,15.181,428.5,58.1,1144.6,178.6,76.9,0.0,197.3,190.6,0.0,4.5,0.0,75.95,106.6,0.0,1924.98,9.925,144.2,155.95,2945.75,117.0,0.0,220.965,1060.9,122.6,81.5,0.0,2113.25,225.0,0.0,410.575,610.025,0.0,49.135000000000005,53.5,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Papua Barat,13366.0,3720.1,308.315,0.0,0.0,61.4,972.211,2347.19,212.19,295.598,0.7,60.206,194.525,1146.94,0.0,6.2700000000000005,228.01,33.351,1271.065,48.48,15653.065,1219.348,51.53,7.005,61.35,114.89,145.236,23.922,5.445,15.675,34.441,0.0,153.096,59.845000000000006,393.25,286.337,277.04,0.0,0.0,167.37,8.497,16.16,2.635,0.0,307.325,3.092,0.0,123.867,335.171,0.0,48.291,32.694,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Papua Barat Daya,830.0,1188.57,53.66,0.0,0.0,32.71,218.3,460.32,88.17999999999999,151.4,0.0,2.0,10.38,507.2,2.7,18.1,165.41500000000002,55.228,745.39,0.0,1728.05,1204.55,173.57999999999998,0.1,6.62,413.92,68.76,9.24,0.0,41.9,0.6,0.0,1049.115,212.985,3021.561,791.261,2373.264,32.43,0.0,291.76,8.0,23.2,79.6,0.0,1022.7,226.7,0.0,1245.474,481.285,0.0,142.65,396.72,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Papua Pegunungan,346.0,247.07,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,0.0,26.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.07,49.65,5.57,40.260000000000005,54.29,25.36,43.08,3.45,0.0,15.52,40.21,29.52,175.185,0.0,0.0,2.5,0.0,0.0,2.23,22.76,5.92,1.3,8.07,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Papua Selatan,362542.0,2098.29,10.353,0.0,0.0,7.931999999999999,0.012,45.715,10.485,1.398,0.0,8.309999999999999,0.112,10.266,0.01,0.063,24.734,2.347,12.125,0.241,32.019,238.582,0.24,0.0,1.551,10.45,0.03,2.507,0.0,323.869,99.9,0.0,353.341,711.504,1528.756,1410.479,1068.841,76.651,0.0,865.075,1439.855,19.26,194.0,0.0,1138.92,428.525,0.0,1058.617,3064.125,0.0,786.3050000000001,0.004,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Papua Tengah,3805.0,5036.04,66.063,11.5,0.0,73.067,147.546,407.372,43.696,76.05,38.12,48.3,30933.9,351.2,6.5280000000000005,50.193,174.252,157.783,513.303,52.368,2684.878,463.816,133.39,81.14099999999999,46.871,111.34,0.0,0.39,0.0,879.3,0.2,0.0,1779.155,1587.02,2640.7,1690.9,3169.3,1.213,0.0,1875.8,986.093,215.1,1816.8,0.0,1485.66,2880.58,0.0,1627.1,1390.55,22.37,978.3,66.3,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Riau,232071.0,1139.41,1317.432,11.033,0.1,2953.056,2432.143,25815.252,6649.4130000000005,8571.865,6579.124000000001,579.8810000000001,23347.699,9553.673,9594.462,967.338,8212.805,349606.022,12902.248,1741.527,34468.604,29359.325,1992.791,1949.068,1139.511,1373.584,696.272,1100.013,4166.4980000000005,20.04,40.041,0.0,7414.303999999999,2.71,6682.469,8016.360000000001,10763.348,0.005,0.0,10351.91,0.0,42.3,1733.425,0.6,3401.679,18428.717,0.0,5794.33,168.265,0.0,1208.226,6787.94,445.6350000000001,0.0,60.5,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
Sulawesi Barat,386084.0,30295.93,503.469,0.0,0.0,63.028,11097.06,13422.94,242.222,154.38,4.2,230.773,18454.69,43693.73,351.15,0.0,4100.353,5997.571,7138.492,7.225,245380.036,2446.88,44.246,5.029999999999999,257.314,1546.6799999999998,5047.444,0.0,18.7,101.237,968.722,0.0,1326.455,4.7,2814.922,1624.498,1301.214,0.0,10.0,1323.499,5.5,150.409,4.92,0.0,559.487,237.63,0.8,1539.934,1863.767,13.9,2022.1330000000005,713.592,0.0,0.0,0.153,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
Sulawesi Selatan,5466592.0,1131504.0,8241.318,70.64099999999999,0.0,496.381,16466.670000000002,77225.374,2711.9990000000003,15370.574,3022.017,25169.346,18586.071,116333.977,1873.424,107.125,21308.037,43510.572,30850.583,2389.463,182585.871,40449.155,13168.475,543.75,1455.668,11930.162,4777.218,284.956,470.579,35263.858,322741.559,0.0,4230.219,6470.737,44240.869,7758.957,11604.712,2965.66,66903.05500000001,5815.951999999999,56072.647,13571.583,1467.852,3.7,19161.281,13023.515,75.166,10321.483,72215.209,32765.438,15880.137,9462.59,377.656,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Sulawesi Tengah,920086.0,84798.45,7689.847,106.53,1.0,157.292,4868.984,97922.205,1456.507,776.329,939.73,183.885,5215.317,11940.313,2639.675,23.495,4064.973,2005.838,6215.835,525.278,19061.544,4891.780000000001,1880.065,167.363,528.842,594.975,8335.551,1535.491,72.36,3123.048,2036.293,0.2,1016.041,791.6800000000001,16623.164,2680.336,2629.262,594.616,186.94,3557.986,4263.092,3525.157,958.86,1.6800000000000002,3967.088,4802.695,5.15,5720.831,11889.387,654.17,1323.584,4038.63,0.065,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Sulawesi Tenggara,680820.0,79444.29,1127.2379999999998,3.005,0.0,335.246,4362.604,34034.667,2051.1130000000003,1797.336,433.575,3418.7339999999995,12162.994,19892.812,2475.115,123.94,5282.846,39680.807,13629.160999999998,598.54,52250.903000000006,16088.285,2704.95,664.216,1510.642,3988.833,3431.665,221.213,238.22,571.4359999999999,397.035,0.0,2919.347,294.847,4205.843,3979.376,4692.401,2.26,2.3,2647.923,442.845,474.14,541.0699999999999,0.006,1972.478,2542.786,0.849,5475.093,4368.769,0.0,1138.7469999999998,1616.743,69.3,0.0,0.01,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
Sulawesi Utara,265112.0,112771.9,6372.556,2.175,0.05,373.577,4240.723,32438.037,615.868,1454.272,0.45,23.35,261.939,12692.67,2716.7470000000003,36.462,5154.678,679.566,22539.075,0.45,45988.042,5343.459,993.58,0.4,1710.8200000000002,142.481,575.027,2898.7830000000004,8.32,41985.694,2554.651,0.0,471.162,879.632,12666.958,857.961,4305.337,1175.192,36086.7,1351.193,68656.946,18793.002,77.921,62.66,43118.727,193.611,0.0,11415.005,38261.648,45779.118,6.65,5875.196,0.0,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Sumatera Barat,1382697.0,518315.8,114443.139,10.95,1.97,582.921,3683.267,124216.001,3630.878,5101.7300000000005,21168.603,144.63299999999998,32572.478000000003,16957.522,56983.591,3140.585,11321.234,374.21,33818.103,15621.509,150873.49099999998,20452.486,1154.5700000000002,19266.758,6694.926,2527.583,5927.632,525.841,1168.74,68495.084,232895.39700000003,598.9649999999999,7214.93,53126.287,31490.73,14391.244,7873.445,10375.235,27098.95,17712.835,257629.66,31484.285,1679.9060000000002,0.0,30313.508,9174.8,113.457,105317.959,101117.696,27930.525,0.0,121757.291,161.464,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Sumatera Selatan,3627022.0,338998.6,11475.354,23.284,0.1,844.7629999999999,33364.998,48770.784,5318.537,4357.889,8069.923,84.94500000000001,29358.92,16918.579,3412.5910000000003,749.5899999999999,10406.184,273457.762,29018.675,3193.121,452553.542,10445.254,1338.267,4284.880999999999,1056.889,1705.169,1221.673,3724.505,1750.311,2917.625,917.884,0.0,2912.994,2641.9,14010.024,8631.741,6439.602,380.6,1064.5,15152.51,3223.6,2124.552,1410.584,20.0,3107.794,9829.637,0.4,18735.855,7068.739,1429.0,5485.485,19049.656,1782.9740000000002,0.0,415.72,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Sumatera Utara,2752655.0,1373900.0,49762.746,13.408,0.0,3548.084,11515.846,106382.801,9199.133,8918.365,11457.206,398.282,356148.27,38311.156,20352.585,3853.42,13294.075,185223.442,130740.345,33901.482,150225.659,18096.528,312662.592,7878.144,4474.526,823.3459999999999,34752.785,707.104,311.178,20016.006,52095.305,43.06,16351.059,62026.81,109052.507,25577.961,22571.505,64934.098,126203.674,27220.237,245022.343,12511.633,2848.7,3.0,82246.36600000001,22222.782,163.053,89304.963,234579.856,198747.092,2973.547,211900.308,103.45,0.0,0.41,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
